Country code,Zip code,T12,T09,T10
SK,83154,x,,
SK,83248,x,,
SK,83296,x,,
SK,83391,x,,
SK,83510,x,,
SK,83554,x,,
SK,83601,x,,
SK,83605,x,,
SK,84000,x,,
SK,84002,x,,
SK,84008,x,,
SK,84101,x,,
SK,84102,x,,
SK,84103,x,,
SK,84104,x,,
SK,84105,x,,
SK,84106,x,,
SK,84107,x,,
SK,84108,x,,
SK,84110,x,,
SK,84227,x,,
SK,84229,x,,
SK,84407,x,,
SK,84501,x,,
SK,84545,x,,
SK,84998,x,,
SK,84999,x,,
SK,85000,x,,
SK,85007,x,,
SK,85101,x,,
SK,85102,x,,
SK,85103,x,,
SK,85104,x,,
SK,85105,x,,
SK,85106,x,,
SK,85107,x,,
SK,85110,x,,
SK,85226,x,,
SK,90001,x,,
SK,90002,x,,
SK,90029,x,,
SK,90033,x,,
SK,90041,x,,
SK,90051,x,,
SK,90055,x,,
SK,90068,x,,
SK,90082,x,,
SK,90083,x,,
SK,90084,x,,
SK,90086,x,,
SK,90101,x,,
SK,90201,x,,
SK,90202,x,,
SK,90203,x,,
SK,90301,x,,
SK,90312,x,,
SK,90622,x,,
SK,90632,x,,
SK,90633,x,,
SK,90851,x,,
SK,91101,x,,
SK,91102,x,,
SK,91103,x,,
SK,91104,x,,
SK,91105,x,,
SK,91106,x,,
SK,91107,x,,
SK,91108,x,,
SK,91303,x,,
SK,91304,x,,
SK,91305,x,,
SK,91306,x,,
SK,91307,x,,
SK,91308,x,,
SK,91311,x,,
SK,91321,x,,
SK,91322,x,,
SK,91324,x,,
SK,91325,x,,
SK,91326,x,,
SK,91331,x,,
SK,91332,x,,
SK,91333,x,,
SK,91336,x,,
SK,91338,x,,
SK,91401,x,,
SK,91441,x,,
SK,91442,x,,
SK,91501,x,,
SK,91601,x,,
SK,91626,x,,
SK,91641,x,,
SK,91642,x,,
SK,91700,x,,
SK,91701,x,,
SK,91702,x,,
SK,91703,x,,
SK,91704,x,,
SK,91705,x,,
SK,91706,x,,
SK,91707,x,,
SK,91708,x,,
SK,91747,x,,
SK,91758,x,,
SK,91799,x,,
SK,91935,x,,
SK,91943,x,,
SK,91961,x,,
SK,92101,x,,
SK,92201,x,,
SK,92202,x,,
SK,92203,x,,
SK,92400,x,,
SK,92401,x,,
SK,92422,x,,
SK,92434,x,,
SK,92447,x,,
SK,92581,x,,
SK,92582,x,,
SK,92583,x,,
SK,92591,x,,
SK,92600,x,,
SK,92601,x,,
SK,92700,x,,
SK,92701,x,,
SK,92702,x,,
SK,92703,x,,
SK,92704,x,,
SK,92705,x,,
SK,92901,x,,
SK,93001,x,,
SK,93002,x,,
SK,93003,x,,
SK,93201,x,,
SK,93401,x,,
SK,93405,x,,
SK,94001,x,,
SK,94002,x,,
SK,94051,x,,
SK,94052,x,,
SK,94053,x,,
SK,94054,x,,
SK,94055,x,,
SK,94056,x,,
SK,94057,x,,
SK,94058,x,,
SK,94059,x,,
SK,94060,x,,
SK,94061,x,,
SK,94062,x,,
SK,94063,x,,
SK,94064,x,,
SK,94065,x,,
SK,94066,x,,
SK,94067,x,,
SK,94068,x,,
SK,94069,x,,
SK,94070,x,,
SK,94071,x,,
SK,94072,x,,
SK,94074,x,,
SK,94075,x,,
SK,94076,x,,
SK,94077,x,,
SK,94078,x,,
SK,94079,x,,
SK,94080,x,,
SK,94081,x,,
SK,94085,x,,
SK,94091,x,,
SK,94092,x,,
SK,94093,x,,
SK,94094,x,,
SK,94095,x,,
SK,94096,x,,
SK,94097,x,,
SK,94098,x,,
SK,94099,x,,
SK,94501,x,,
SK,94504,x,,
SK,94505,x,,
SK,94612,x,,
SK,94631,x,,
SK,94632,x,,
SK,94633,x,,
SK,94634,x,,
SK,94657,x,,
SK,94661,x,,
SK,94701,x,,
SK,94703,x,,
SK,94901,x,,
SK,94902,x,,
SK,94903,x,,
SK,94904,x,,
SK,94905,x,,
SK,94906,x,,
SK,94907,x,,
SK,94908,x,,
SK,94909,x,,
SK,94910,x,,
SK,94911,x,,
SK,94973,x,,
SK,95101,x,,
SK,95102,x,,
SK,95104,x,,
SK,95105,x,,
SK,95106,x,,
SK,95107,x,,
SK,95108,x,,
SK,95112,x,,
SK,95116,x,,
SK,95117,x,,
SK,95121,x,,
SK,95122,x,,
SK,95124,x,,
SK,95131,x,,
SK,95132,x,,
SK,95133,x,,
SK,95134,x,,
SK,95135,x,,
SK,95137,x,,
SK,95141,x,,
SK,95142,x,,
SK,95148,x,,
SK,95151,x,,
SK,95152,x,,
SK,95153,x,,
SK,95154,x,,
SK,95161,x,,
SK,95162,x,,
SK,95172,x,,
SK,95173,x,,
SK,95174,x,,
SK,95175,x,,
SK,95176,x,,
SK,95177,x,,
SK,95178,x,,
SK,95181,x,,
SK,95182,x,,
SK,95187,x,,
SK,95188,x,,
SK,95191,x,,
SK,95197,x,,
SK,95201,x,,
SK,95301,x,,
SK,95302,x,,
SK,95303,x,,
SK,95304,x,,
SK,95305,x,,
SK,95501,x,,
SK,95652,x,,
SK,95653,x,,
SK,95654,x,,
SK,95655,x,,
SK,95701,x,,
SK,95703,x,,
SK,95704,x,,
SK,95853,x,,
SK,95854,x,,
SK,96001,x,,
SK,96002,x,,
SK,96003,x,,
SK,96004,x,,
SK,96005,x,,
SK,96006,x,,
SK,96007,x,,
SK,96053,x,,
SK,96201,x,,
SK,96202,x,,
SK,96211,x,,
SK,96212,x,,
SK,96213,x,,
SK,96221,x,,
SK,96223,x,,
SK,96224,x,,
SK,96231,x,,
SK,96232,x,,
SK,96233,x,,
SK,96237,x,,
SK,96261,x,,
SK,96264,x,,
SK,96501,x,,
SK,96548,x,,
SK,96563,x,,
SK,96611,x,,
SK,96612,x,,
SK,97101,x,,
SK,97201,x,,
SK,97202,x,,
SK,97205,x,,
SK,97231,x,,
SK,97232,x,,
SK,97251,x,,
SK,97271,x,,
SK,97272,x,,
SK,97400,x,,
SK,97401,x,,
